card_id,day_offset,actual_price,pred_price,conf_low,conf_high,model
510148,1,65.5,65.3751449584961,65.3751449584961,65.3751449584961,Chronos
510148,2,65.37333333333333,65.3751449584961,65.3751449584961,65.87040710449219,Chronos
510148,3,64.9525,65.87040710449219,65.3751449584961,65.91993408203125,Chronos
510148,4,64.3225,65.87040710449219,65.3751449584961,66.36567687988281,Chronos
510148,5,63.879999999999995,65.87040710449219,65.3751449584961,66.36567687988281,Chronos
510148,6,63.7,65.87040710449219,65.3751449584961,66.36567687988281,Chronos
510148,7,63.7,66.36567687988281,65.82088088989258,66.36567687988281,Chronos
510148,8,63.36,66.36567687988281,65.87040710449219,66.8609390258789,Chronos
510148,9,63.07,66.36567687988281,65.87040710449219,67.35620880126953,Chronos
510148,10,63.07,66.8609390258789,66.31614990234375,67.40573501586914,Chronos
510148,11,63.010000000000005,67.10857391357422,66.36567687988281,67.35620880126953,Chronos
510148,12,62.95,67.35620880126953,66.8114128112793,67.40573501586914,Chronos
510148,13,62.95,67.35620880126953,66.8609390258789,67.85147094726562,Chronos
510148,14,62.95,67.35620880126953,66.8609390258789,67.90099792480468,Chronos
510148,15,62.95,67.35620880126953,66.8609390258789,68.84200286865234,Chronos
510148,16,62.870000000000005,67.35620880126953,66.8609390258789,68.39626693725586,Chronos
510148,17,62.79,67.85147094726562,67.30668182373047,68.84200286865234,Chronos
510148,18,62.79,68.09910583496094,67.30668182373047,68.84200286865234,Chronos
510148,19,62.8025,68.34674072265625,66.8114128112793,69.38679885864258,Chronos
510148,20,62.84,68.34674072265625,66.8609390258789,69.38679885864258,Chronos
510148,21,62.84,68.34674072265625,67.30668182373047,69.38679885864258,Chronos
510148,22,62.9225,68.34674072265625,66.8609390258789,69.38679885864258,Chronos
510148,23,63.245000000000005,68.34674072265625,66.8609390258789,69.38679885864258,Chronos
510148,24,63.38,68.34674072265625,66.8609390258789,69.38679885864258,Chronos
510148,25,63.38,68.5943717956543,66.8609390258789,69.38679885864258,Chronos
510148,26,63.38,68.84200286865234,66.8609390258789,69.38679885864258,Chronos
510148,27,63.38,68.84200286865234,67.30668182373047,69.38679885864258,Chronos
510148,28,63.38,68.84200286865234,67.30668182373047,69.38679885864258,Chronos
510148,29,63.447500000000005,68.84200286865234,67.30668182373047,69.38679885864258,Chronos
510148,30,64.06,68.84200286865234,67.30668182373047,69.38679885864258,Chronos
510152,1,162.57,160.8456268310547,160.8456268310547,162.28173828125,Chronos
510152,2,162.57,160.8456268310547,160.8456268310547,163.71788024902344,Chronos
510152,3,162.57,162.28173828125,160.8456268310547,165.15399169921875,Chronos
510152,4,164.06,162.28173828125,160.8456268310547,165.2976043701172,Chronos
510152,5,166.3,162.28173828125,160.8456268310547,166.8773422241211,Chronos
510152,6,166.3,162.99980926513672,160.8456268310547,167.16456604003906,Chronos
510152,7,166.3,163.71788024902344,160.70201416015624,168.45706634521486,Chronos
510152,8,166.3,163.71788024902344,160.70201416015624,170.03680572509765,Chronos
510152,9,166.3,163.71788024902344,160.8456268310547,170.03680572509765,Chronos
510152,10,165.28,163.71788024902344,160.8456268310547,171.47293243408203,Chronos
510152,11,165.28,164.4359359741211,160.8456268310547,172.90904388427734,Chronos
510152,12,165.6875,165.15399169921875,160.8456268310547,175.49407196044922,Chronos
510152,13,167.97666666666666,165.15399169921875,160.8456268310547,176.78658599853514,Chronos
510152,14,168.51,165.15399169921875,160.8456268310547,178.07908630371094,Chronos
510152,15,168.51,165.15399169921875,160.8456268310547,178.2226989746094,Chronos
510152,16,169.78,165.15399169921875,160.70201416015624,179.5152130126953,Chronos
510152,17,172.08,165.15399169921875,160.70201416015624,179.65882415771483,Chronos
510152,18,172.08,165.15399169921875,161.99451446533203,179.65882415771483,Chronos
510152,19,172.08,165.15399169921875,161.99451446533203,179.80243682861328,Chronos
510152,20,172.08,165.15399169921875,160.70201416015624,179.94604949951173,Chronos
510152,21,172.08,165.15399169921875,159.2658889770508,179.94604949951173,Chronos
510152,22,172.08,165.15399169921875,159.4095001220703,180.08966064453125,Chronos
510152,23,173.37,165.87205505371094,159.4095001220703,181.38216094970704,Chronos
510152,24,175.64,165.87205505371094,159.2658889770508,181.38216094970704,Chronos
510152,25,177.19,165.87205505371094,159.2658889770508,181.2385498046875,Chronos
510152,26,180.29,165.87205505371094,159.2658889770508,181.2385498046875,Chronos
510152,27,180.29,165.87205505371094,157.973388671875,182.53106384277345,Chronos
510152,28,180.29,166.59011840820312,157.973388671875,183.9671890258789,Chronos
510152,29,180.29,166.59011840820312,157.973388671875,183.9671890258789,Chronos
510152,30,180.29,167.30817413330078,157.973388671875,183.9671890258789,Chronos
510153,1,704.85,693.6901245117188,693.6901245117188,693.6901245117188,Chronos
510153,2,702.17,693.6901245117188,693.6901245117188,699.3760986328125,Chronos
510153,3,691.65,693.6901245117188,693.6901245117188,699.3760986328125,Chronos
510153,4,686.49,693.6901245117188,693.1215209960938,705.6306701660156,Chronos
510153,5,686.49,693.6901245117188,693.1215209960938,706.199267578125,Chronos
510153,6,686.49,693.6901245117188,688.0040893554688,706.7678649902344,Chronos
510153,7,686.49,693.6901245117188,688.0040893554688,706.7678649902344,Chronos
510153,8,686.49,693.6901245117188,688.0040893554688,712.4538391113282,Chronos
510153,9,686.49,693.6901245117188,687.4354919433594,713.0224365234375,Chronos
510153,10,667.665,693.6901245117188,687.4354919433594,718.139813232422,Chronos
510153,11,661.39,693.6901245117188,687.4354919433594,723.2571899414063,Chronos
510153,12,661.39,693.6901245117188,688.0040893554688,723.2571899414063,Chronos
