card_id,mae,mape,last_actual_price,predicted_price_30d,lower_bound_30d,upper_bound_30d,tcgplayer_id,name,set_name,rarity
510148,3.71664215935601,0.05881293182480658,64.06,68.5943717956543,65.3751449584961,69.38679885864258,510148,Hades,The First Chapter,Enchanted
510152,5.350748792860244,0.03061654275488274,180.29,167.30817413330078,160.70201416015624,188.70639038085938,510152,Stitch,The First Chapter,Enchanted
510153,32.72434497070311,0.04991141518251952,651.21,702.2190856933594,687.4354919433594,756.8044982910156,510153,Elsa,The First Chapter,Enchanted
510154,2.482301045735684,0.017615009294536244,141.43,138.09425354003906,135.87667999267578,142.12619018554688,510154,Mickey Mouse,The First Chapter,Enchanted
510155,0.5772600589328353,0.008524007632415488,68.66,69.08548736572266,66.57329559326172,72.97940063476562,510155,Genie,The First Chapter,Enchanted
510156,1.6469190470377588,0.017463484870170316,96.04,91.7022476196289,89.76239395141602,92.93670501708985,510156,Mickey Mouse,The First Chapter,Enchanted
510157,1.301235806783041,0.02002441831459069,66.51,64.25830078125,61.80528945922852,68.36443481445313,510157,Aladdin,The First Chapter,Enchanted
510158,0.9611775309244787,0.010166071694576262,94.59,95.86965942382812,91.80514221191406,101.61300048828129,510158,Maui,The First Chapter,Enchanted
510159,2.2487839084201378,0.016613245910772213,134.21,138.39239501953125,137.2294464111328,143.160546875,510159,Aurora,The First Chapter,Enchanted
510161,4.8546630859374975,0.027157153403242408,177.36,184.9046630859375,183.4931640625,187.72763061523438,510161,Belle,The First Chapter,Enchanted
510162,4.191013356526693,0.041653110679299485,100.35,93.16050720214844,85.56057510375976,100.51528930664062,510162,Simba,The First Chapter,Enchanted
510163,12.190671003553604,0.08004356418592976,159.38,136.14410400390625,133.02415161132814,145.22039031982422,510163,Tinker Bell,The First Chapter,Enchanted
527797,0.20966119893391924,0.006456133916093414,32.47,32.779212951660156,31.5828914642334,34.83688735961914,527797,Arthur,Rise of the Floodborn,Enchanted
527798,0.27004994710286423,0.011194632553397917,23.95,24.59546661376953,24.36422824859619,25.436336517333984,527798,Namaari,Rise of the Floodborn,Enchanted
527799,0.25152256266275924,0.003687612472010665,68.09,68.23802947998047,66.90093383789062,72.06489105224614,527799,Snow White,Rise of the Floodborn,Enchanted
527800,0.6785564804077163,0.019410832646136345,35.36,33.8497314453125,32.42300643920898,42.77375030517579,527800,Beast,Rise of the Floodborn,Enchanted
527802,1.4157497558593783,0.009562534241012412,149.85,146.59498596191406,134.8673873901367,157.23165283203127,527802,Cinderella,Rise of the Floodborn,Enchanted
528107,2.5513193706936295,0.09492675216162633,27.28,29.440061569213867,27.879052543640135,32.616848754882824,528107,Madam Mim,Rise of the Floodborn,Enchanted
528108,1.8366978204515243,0.07371654703736034,24.01,27.18962287902832,26.053005981445313,27.99193859100342,528108,Pete,Rise of the Floodborn,Enchanted
528109,0.33585014936659086,0.012841767762109808,26.7,26.895809173583984,24.49824161529541,27.72573699951172,528109,Lady Tremaine,Rise of the Floodborn,Enchanted
528110,1.0072895779079865,0.02211474944792572,46.22,47.06174087524414,46.710533142089844,47.76415252685547,528110,Shere Khan,Rise of the Floodborn,Enchanted
528111,5.755662055121529,0.06204509722472193,90.11,99.5103530883789,97.26649627685546,128.97322540283204,528111,Alice,Rise of the Floodborn,Enchanted
528112,0.13295183054606194,0.003829791696162167,34.99666666666667,34.889198303222656,33.75458908081055,35.76851959228516,528112,Sisu,Rise of the Floodborn,Enchanted
528113,0.9486216083102761,0.028929039660776583,32.18,30.26057243347168,25.28503589630127,35.41068916320801,528113,Hercules,Rise of the Floodborn,Enchanted
539156,2.3466440480550137,0.046469002481296685,48.79,54.970008850097656,49.51959457397461,61.07261238098145,539156,Chernabog,Into the Inklands,Enchanted
539157,0.20717895719740131,0.01010759661416865,20.32,20.406023025512695,20.04286460876465,20.578954696655273,539157,Pride Lands,Into the Inklands,Enchanted
539158,2.695782349480523,0.057620699867809336,46.06,50.26664352416992,44.321648025512694,51.95831069946289,539158,Jafar,Into the Inklands,Enchanted
539159,0.21864798990885367,0.005847191792361755,37.22,37.826759338378906,37.128849029541016,37.99425926208496,539159,Maleficent,Into the Inklands,Enchanted
539162,0.42560987514919724,0.013266905128079572,32.33,31.359378814697266,30.642594146728516,32.03136444091797,539162,The Sorcerer's Hat,Into the Inklands,Enchanted
539163,1.9004782307942696,0.029090774125365263,65.09,67.7555923461914,67.64889144897461,73.19738464355468,539163,Morph,Into the Inklands,Enchanted
539164,5.183581047905816,0.08121532743351177,61.75,70.24577331542969,64.19683227539062,82.34365386962891,539164,Ursula,Into the Inklands,Enchanted
539165,0.11351028951009136,0.007547711733256943,14.79,15.287286758422852,14.837660789489746,17.19070510864258,539165,Kuzco's Palace,Into the Inklands,Enchanted
539166,1.5199569986131454,0.058846490131899035,24.64,24.965110778808594,22.557310104370117,31.276090240478517,539166,Captain Hook,Into the Inklands,Enchanted
539167,0.05718104298909511,0.003338197536793161,17.07,17.087482452392578,16.581185722351073,17.5621337890625,539167,RLS Legacy,Into the Inklands,Enchanted
539168,0.142768853081598,0.003120800293186913,46.0,45.80699157714844,45.472633361816406,47.31159973144531,539168,Scrooge McDuck,Into the Inklands,Enchanted
539169,0.08733844248453758,0.006088593582898977,14.46,14.171984672546387,13.891351699829102,15.02791624069214,539169,Belle's House,Into the Inklands,Enchanted
539171,9.289367770724827,0.14736356306006013,59.85,76.41217041015625,74.11539001464844,82.41914367675783,539171,Robin Hood,Into the Inklands,Enchanted
539173,0.3300972798665361,0.005812916850093553,56.24,56.621337890625,48.65701560974121,61.599038314819346,539173,And Then Along Came Zeus,Into the Inklands,Enchanted
539273,0.8997160983615454,0.02796612926107005,32.01,33.49457550048828,31.895969581604003,36.235036849975586,539273,Kida,Into the Inklands,Enchanted
539274,0.050191755506727394,0.0015896433911702938,31.53,31.60096549987793,31.34404754638672,32.114803314208984,539274,Peter Pan,Into the Inklands,Enchanted
539275,1.3700189904106987,0.06422238113754754,21.18,23.03404426574707,21.887461471557618,24.5901216506958,539275,Gramma Tala,Into the Inklands,Enchanted
539276,2.274905966016981,0.042816066748898346,54.19,49.929622650146484,48.53702583312988,51.458078765869146,539276,Mickey Mouse,Into the Inklands,Enchanted
550535,1.056041995578343,0.0181558959566421,57.48,59.80491638183594,58.36960220336914,64.49362182617189,550535,Diablo,Ursula's Return,Enchanted
550536,0.7710940390692816,0.06174823000893874,12.43,13.369637966156006,13.048307704925538,14.368057346343994,550536,The Wall,Ursula's Return,Enchanted
550537,0.7371092258029522,0.022283122752790326,33.15,34.0587043762207,33.35403823852539,34.55196914672852,550537,Minnie Mouse,Ursula's Return,Enchanted
550538,0.17446760219997787,0.006685298495824939,25.88,25.647830963134766,23.75921745300293,27.21001815795899,550538,Yen Sid,Ursula's Return,Enchanted
550540,1.9315655377705894,0.07936305985391359,24.29,26.96126937866211,26.07628002166748,27.599283981323243,550540,The Queen,Ursula's Return,Enchanted
550541,0.27954643291897247,0.010016107649137261,28.27,27.876697540283203,25.951580238342284,35.7771800994873,550541,We Don't Talk About Bruno,Ursula's Return,Enchanted
550542,0.5903334011501741,0.015557231254881962,38.22,36.9820442199707,34.84730987548828,39.98871612548828,550542,Goofy,Ursula's Return,Enchanted
550544,0.2348724975585938,0.006397273448344257,37.06,36.510162353515625,35.977169036865234,37.09645881652832,550544,Cinderella,Ursula's Return,Enchanted
550549,1.3682188568115228,0.01692030327688465,81.84666666666666,83.31767272949219,77.54952392578124,99.76756896972657,550549,Ariel,Ursula's Return,Enchanted
550674,0.5763730146620004,0.017856847095250265,33.01,31.4975528717041,30.85072841644287,32.90369415283203,550674,Anna,Ursula's Return,Enchanted
550718,0.8934387512207032,0.031906414459147575,28.79,26.644479751586914,25.96862087249756,28.15216808319092,550718,Look at This Family,Ursula's Return,Enchanted
550719,0.25587199020385754,0.019093039632674818,13.3,13.758615970611572,13.25728988647461,14.282222270965576,550719,Ariel's Grotto,Ursula's Return,Enchanted
550721,1.2874433780246315,0.04682234564724099,28.46,25.320898056030273,23.902054595947266,27.98395862579346,550721,Piglet,Ursula's Return,Enchanted
550838,0.3539059566921659,0.026565117456306707,13.19,13.750910758972168,13.233095169067383,14.176671981811523,550838,Snuggly Duckling,Ursula's Return,Enchanted
550839,0.9374395285712348,0.019062378095493864,48.89,50.35890197753906,49.76644515991211,51.71309280395508,550839,Sisu,Ursula's Return,Enchanted
550844,0.382522253248427,0.015646968468287677,24.93,23.85153579711914,22.201990127563477,24.587142753601075,550844,Ursula,Ursula's Return,Enchanted
551943,8.01337267388238,0.19552147129406564,39.51,52.6596794128418,48.95060768127441,67.86229934692385,551943,Second Star to the Right,Ursula's Return,Enchanted
551944,1.449098219129774,0.03198928411371045,47.026666666666664,43.409061431884766,40.77350997924805,47.103997802734376,551944,Jasmine,Ursula's Return,Enchanted
559716,0.7052561535305453,0.019383412861655226,36.63,37.212276458740234,36.58710861206055,38.43283462524414,559716,Donald Duck,Shimmering Skies,Enchanted
561976,0.5631311836242675,0.01876570021446495,29.8,30.672195434570312,29.311949729919434,33.099299621582034,561976,Royal Tantrum,Shimmering Skies,Enchanted
561977,0.5549999313354489,0.021812485110089,25.42666666666667,26.354860305786133,26.007800102233887,27.200818634033205,561977,Archimedes,Shimmering Skies,Enchanted
561978,0.4704278132120768,0.026660553733998376,17.28,18.49812126159668,17.562584495544435,18.7390926361084,561978,Bad-Anon,Shimmering Skies,Enchanted
561979,0.30384991963704405,0.01513689520977642,19.86,20.46211051940918,20.122646713256835,20.7449951171875,561979,Revive,Shimmering Skies,Enchanted
561980,4.171087172614203,0.08231404773044988,48.696666666666665,55.51277542114258,54.09164886474609,58.665900802612306,561980,Scar,Shimmering Skies,Enchanted
561981,0.9650496190389006,0.024147033913624747,39.193333333333335,41.265878677368164,40.44997291564941,43.305633544921875,561981,Arthur,Shimmering Skies,Enchanted
561982,4.807514732360839,0.09485657530473707,47.2,60.8281192779541,41.827169036865236,70.92433166503908,561982,Finders Keepers,Shimmering Skies,Enchanted
561983,0.7003521118164054,0.00783413459087574,89.23,90.1718521118164,88.77482299804687,90.23535385131837,561983,You're Welcome,Shimmering Skies,Enchanted
561984,1.9199545542399075,0.02985405380787333,61.22,67.69264602661133,64.29284286499023,73.52089385986328,561984,Robin Hood,Shimmering Skies,Enchanted
561991,3.2180692477756043,0.030493249028978278,98.78,112.19268035888672,111.25774383544922,117.80231475830078,561991,Clarabelle,Shimmering Skies,Enchanted
561992,3.0990155198838987,0.07994651947082733,40.15,34.13302421569824,32.98996162414551,36.5461483001709,561992,Vanellope von Schweetz,Shimmering Skies,Enchanted
561993,8.403999155680337,0.20579611966760067,37.96,51.00342559814453,48.9632869720459,52.509237670898436,561993,Prince Naveen,Shimmering Skies,Enchanted
561994,0.543743531121148,0.014369706528219079,38.26,37.78288459777832,36.462589263916016,39.69309616088867,561994,Olaf,Shimmering Skies,Enchanted
561995,3.220529332902696,0.12879720100179182,23.85,29.404674530029297,28.719004821777343,34.415337371826176,561995,King Candy,Shimmering Skies,Enchanted
562000,0.6961047380235459,0.04573704472610369,15.13,16.103628158569336,15.769529342651367,16.70500946044922,562000,Ratigan's Party,Shimmering Skies,Enchanted
562007,3.8627831853230803,0.06067575336235928,65.98,58.86203384399414,57.70028305053711,60.062509536743164,562007,Snow White,Shimmering Skies,Enchanted
562021,8.759136461046001,0.06516752494292684,129.96,144.4007568359375,140.69818115234375,149.4609588623047,562021,Mufasa,Shimmering Skies,Enchanted
590822,0.2929898533291284,0.012125743852102024,24.68,23.95322895050049,22.961333656311034,25.32499885559082,590822,Wreck-It Ralph,Azurite Sea,Enchanted
591994,0.8476781260172532,0.01583301388046745,52.7,55.067867279052734,50.21148910522461,56.975733566284184,591994,Basil,Azurite Sea,Enchanted
591998,0.7205001212226028,0.011956484953347458,62.17,63.28986167907715,57.2086296081543,71.35312728881837,591998,You Came Back,Azurite Sea,Enchanted
591999,0.4407155541314021,0.008045231187387775,55.05,55.66040802001953,54.3017692565918,57.41349411010742,591999,Baymax,Azurite Sea,Enchanted
592000,0.2687456190321187,0.010797945131480026,25.0,25.23001480102539,24.578240966796876,27.374565887451173,592000,The Islands I Pulled From the Sea,Azurite Sea,Enchanted
592001,0.08214477030436147,0.0031148999841633753,26.46,26.51383399963379,25.988807678222656,28.193918228149414,592001,Sugar Rush Speedway,Azurite Sea,Enchanted
592012,0.1711921556260831,0.00522011220734489,32.74,33.06336975097656,32.07795391082764,36.07148704528809,592012,We Could Be Immortals,Azurite Sea,Enchanted
592013,7.768773055182564,0.173838813781964,46.62,34.2729606628418,27.981758689880373,38.54534187316895,592013,Yzma,Azurite Sea,Enchanted
592014,0.6452740033467611,0.02301320694456502,27.686666666666667,29.270170211791992,28.765512466430664,30.203787231445315,592014,Captain Amelia,Azurite Sea,Enchanted
592030,0.7898919567531993,0.020834779082813778,37.72,40.049713134765625,37.992686080932614,42.698917388916016,592030,Chip 'n' Dale,Azurite Sea,Enchanted
592031,3.3178931376139302,0.0526719712655131,60.74,67.24614715576172,52.10519294738769,73.75929183959961,592031,Tiana,Azurite Sea,Enchanted
592032,0.4127193484836159,0.015127547373084553,27.24,27.873178482055664,26.51587543487549,33.01153755187988,592032,Rafiki,Azurite Sea,Enchanted
